Tekst,Label
"Het stinkt hier en het wordt steeds viezer. Wat is er met deze hoek?

Er staat zoveel troep van mensen op straat",Afval
Lelijke grijze grote bovengrondse papiercontainer op het plein is de afgelopen week helemaal vol. Graag legen,Afval
"Vraag: aan de bovenzijde van het pand zit een hijsbalk, mag deze verwijderd worden?",Overlast in de openbare ruimte
Verkeersbord is omgevallen,"Wegen, verkeer, straatmeubilair"
verzakte stoeptegels,"Wegen, verkeer, straatmeubilair"
Er staat heel veel grof vuil al voor 2 weken op 2 locaties bij ons voor de deur,Afval
Er zit een gat in de stoep,"Wegen, verkeer, straatmeubilair"
"Wij hebben hier problemen met het parkeren van de fiets. Er is genoeg ruimte maar door gebrek aan genoeg fietsenrekken wordt het een zooitje, vallen fietsen om en wordt de doorgang belemmerd. 

het plaatsen van een fietsenrek zou makkelijk passen en een groeiend probleem oplossen.","Wegen, verkeer, straatmeubilair"
Graag beide containers zsm legen.,Afval
door een ongeluk of vandalisme is de bak omgetrapt waar door de container sinds dien steeds omvalt en niet goed staat de container staat naast geparkeerde auto's kan zomaar schade aan de auto's toe brengen graag hier naar kijken aub.,Afval
huisvuilcontainers en plasticcontainer op de hoek van de straat zijn vol,Afval
Bouwafval dat naast de bakken wordt gegooid. ,Afval
Grof vuil,Afval
Er staat een snorfiets en een scooter voor de balkon bewoner heeft last van benzine geur scooter en snorfiets wordt al lang niet gebruikt,Overlast in de openbare ruimte
Het is elke dag raak!!!!!,Afval
Auto staat tegen de tuin aan geparkeerd.,Overlast in de openbare ruimte
"Straat op twee plaatsen bij 101 verzakt. De plassen blijven staan en autos rijden door deze plassen waardoor de gevel steeds vies wordt. 

Graag ophogen zodat water weer naar de put loopt","Wegen, verkeer, straatmeubilair"
Er liggen matrassen en oude tv en er komt meer bij. Dit ligt er al 2 weken.,Afval
De containers zitten vol en de vuilniszakken stapelen zich op naast de containers.,Afval
Drie fietswrakken nemen plaats in beslag in het fietsenrek,Overlast in de openbare ruimte
Er staat een televisie op straat,Afval
Junk voor de deur,Overlast van en door personen of groepen
afval probleem. Sinds 2 weken wordt het huisvuil niet opgehaald.,Afval
Dhr. heeft dinsdag twee kastjes bij grofvuil gezet op de juiste plek. Dit is echter net opgehaald.,Afval
"Verstopte put, schuin tegen over als ook aan de ander kant. melder geeft aan dat er een grote plas water op de stoep ligt die te diep is om er door te lopen.","Wegen, verkeer, straatmeubilair"
Betreft losse tegel die schuin omhoog komt en een struikelblok vormt.,"Wegen, verkeer, straatmeubilair"
een van de containers van een stel is aan de achterkant kapot - de achterkant ligt ernaast.,Afval
Een groot matras bij de parkeerplaats,Afval
Huisvuil gedumpt op parkeerplaats,Afval
"Grofvuil 20 december niet opgehaald

Staat naast een bouwafvalcontainer.",Afval
"Restafval vol 

Onder aan de bak ook de zak weghalen svp",Afval
Aanvraag fiets verwijderen aan een verkeersbord. Staat gevaarlijk.,"Wegen, verkeer, straatmeubilair"
"Mevrouw heeft last van uitlaatgas waar zij misselijk van wordt, al meer dan een week lang.",Overlast in de openbare ruimte
papiercontainer vol,Afval
Klep ontbreekt,Afval
Overlast door vuurwerkbommen,Overlast van en door personen of groepen
"Klep ondergrondse afvalcontainer is kapot en gaat niet meer open 

Hierdoor veel overlast door zakken huisvuil in de straat. Aub zsm reparatie uit laten voeren voor er ongedierte wordt aangetrokken.",Afval
Algemene klacht over afsteken vuurwerk in de buurt. Al overdag - Kinderen bang.,Overlast van en door personen of groepen
"Containers zijn vol, papier, plastic, huisvuil, kunnen deze geleegd worden?",Afval
"Restafval container op hoek is vol graag ophalen, dank.",Afval
"Bank op straat, kan deze eindelijk opgehaald worden",Afval
Heel veel zwerfvuil op straat. ,Afval
Put verstopt. Zorgt voor grote plas al weken,"Wegen, verkeer, straatmeubilair"
Een zeer slecht zichtbare en geheel niet aangegeven drempel midden op het fietspad,Overlast in de openbare ruimte
Dit krijg je als er niet voldoende afvalbakken of geen afvalbakken zijn op zo'n drukke route,Afval
grofvuil ligt op straat al meer dan een week,Afval
papierbak is vol en staan weer allerlei dozen naast de bak,Afval
Verkeerslichten werken niet. Gevaarlijke situaties. Route naar tramhalte.,"Wegen, verkeer, straatmeubilair"
Elke avond vuurwerkoverlast - 5 minute geleden opnieuw een hele zware klap,Overlast in de openbare ruimte
bedankt voor het opruimen van het blad in de Sloestraat! Ziet er weer puik uit!,Afval
De nieuwe container staat opeens voor mijn deur. En in de weg. Graag weer aan de overkant zetten.,Afval
Anonieme beller meldt dat het huisafval vandaag niet opgehaald is . ,Afval
Graag weghalen van grofvuil bij de ondergrondse containernr. ,Afval
Veel los vuil rondom parkeerplaatsen en in het water,Afval
stoep is breed en er wordt vaak fout geparkeerd waardoor de weg voor de voetgangers wordt geblokkeerd.,Overlast in de openbare ruimte
Al meerdere dagen zweefafval naast overvolle containers. Zowel papier- als restafval,Afval
Papiercontainer,Afval
Dit wordt echt gevaarlijk met oud en nieuw,Afval
"Harde beat van muziek, waarschijnlijk van evenement in de buurt, dance feest?",Overlast Bedrijven en Horeca
Ratten in binnentuin en in pand. Ik vermoed dat de ratten ook tussen plafond en muren zitten.,Overlast van dieren
Keiharde muziek en bastonen vanuit cafes.wij wonen aan de overzijde van de cafes.,Overlast Bedrijven en Horeca
"De papierbak zit vol, er ligt ook een stapel naast. Kan dit worden opgeruimd?",Afval
Op het plein lopen RATTEN.,Overlast van dieren
"Sinds er gewerkt is aan de gasleiding, zijn de stoeptegels heel slecht teruggeplaatst. Onregelmatig, een kapotte en met verschillende hoogtes.","Wegen, verkeer, straatmeubilair"
"Restafvalcontainer ondergronds zit vol.
",Afval
Ondergrondse container voor huisvuil is stuk.,Afval
Container is vol. Vuilniszakken worden ernaast gezet. Trekt ongedierte aan.,Afval
Zwerfvuil bij de parkeervakken en grote hoeveelheden slagroompatronen.,Afval
"er staan een aantal volle vuilniszakken op straat, terwijl de vuilnis pas donderdagochtend wordt opgehaald.",Afval
Riool zat verstopt bij de gemeente put,"Wegen, verkeer, straatmeubilair"
